iter	RMSE
350	0.2536208566
351	0.2535068578
352	0.2531665621
353	0.2529519842
354	0.2528051756
355	0.2527112209
356	0.2522790424
357	0.2521540884
358	0.2519397765
359	0.2518133466
360	0.2515328407
361	0.2513033236
362	0.2511327297
363	0.2509475854
364	0.2507932702
365	0.2506546152
366	0.2505914542
367	0.2502646657
368	0.2499241863
369	0.249747284
370	0.2494318994
371	0.2492986408
372	0.2491027312
373	0.2488855841
374	0.2486598549
375	0.248508611
376	0.2482445973
377	0.248048557
378	0.247730179
379	0.2474432595
380	0.2473575501
381	0.2469665963
382	0.2467744594
383	0.2466688402
384	0.2465592526
385	0.2463080855
386	0.2459337103
387	0.2458147068
388	0.2456546743
389	0.2454358279
390	0.2453043555
391	0.245163636
392	0.2450533758
393	0.2448159212
394	0.244634664
395	0.2445488722
396	0.2443697909
397	0.2440323398
398	0.2438225464
399	0.2436372061
400	0.2434397451
401	0.2433267838
402	0.2431971998
403	0.2430978434
404	0.2429187358
405	0.2427698486
406	0.242562059
407	0.2423768984
408	0.2422035344
409	0.2420645897
410	0.2418765204
411	0.2417179333
412	0.241635376
413	0.2414844966
414	0.2413267474
415	0.2411792228
416	0.2408763351
417	0.2408104505
418	0.2406925881
419	0.2405500536
420	0.2403820952
421	0.2400271321
422	0.2398595705
423	0.2394064453
424	0.2392452761
425	0.2389339777
426	0.2386409371
427	0.2385107975
428	0.2383757669
429	0.2382131798
430	0.2380151877
431	0.2378310323
432	0.237676839
433	0.2375547384
434	0.2374660338
435	0.2372175456
436	0.2369421943
437	0.2367606392
438	0.2366514924
439	0.2364851291
440	0.2363224364
441	0.2362131747
442	0.236045699
443	0.2357322932
444	0.2355836636
445	0.2354281015
446	0.2352975151
447	0.2350325535
448	0.2347354108
449	0.2344965079
450	0.2343203383
451	0.2341700149
452	0.2339946665
453	0.2338566127
454	0.2336605511
455	0.2335868223
456	0.2333233814
457	0.2332405256
458	0.2331462793
459	0.2329379329
460	0.2328129156
461	0.2326296742
462	0.2325480588
463	0.2324492944
464	0.2321256254
465	0.2320575258
466	0.2317585653
467	0.2316543587
468	0.2315356989
469	0.2314634171
470	0.2313467688
471	0.2311054602
472	0.2309799653
473	0.2307714519
474	0.2307050163
475	0.2304971002
476	0.2303970075
477	0.2301295941
478	0.2300017101
479	0.2298652901
480	0.229737158
481	0.2295635897
482	0.2295079477
483	0.2294318845
484	0.2292461065
485	0.2290013898
486	0.2288294589
487	0.2287216628
488	0.2285807094
489	0.2283944733
490	0.2282934389
491	0.2280781846
492	0.2279717504
493	0.2278626644
494	0.2277645276
495	0.2275216555
496	0.2273054834
497	0.2272324303
498	0.2269765474
499	0.2267869435
500	0.2265726196
501	0.2264547615
502	0.2263173805
503	0.226134456
504	0.2260197451
505	0.225859933
506	0.2256665248
507	0.2255863933
508	0.2254745035
509	0.2253689933
510	0.2250740083
511	0.2249520585
512	0.2248750854
513	0.2247048272
514	0.2245922867
515	0.2244813016
516	0.2244344549
517	0.2243773863
518	0.224240784
519	0.2239678718
520	0.2239043596
521	0.2236530891
522	0.2235877473
523	0.2234710414
524	0.2233445975
525	0.2232197644
526	0.2230920165
527	0.2229764642
528	0.2228318014
529	0.2226991874
530	0.2225990955
531	0.222448754
532	0.2223376288
533	0.2222103918
534	0.2220434252
535	0.2219402783
536	0.2218034583
537	0.2216939299
538	0.2215695034
539	0.2214464587
540	0.2213869749
541	0.2212251862
542	0.2211087988
543	0.2209898258
544	0.2208501975
545	0.2207433816
546	0.2206042335
547	0.220479683
548	0.2203201875
549	0.2200914837
550	0.2199716094
551	0.2198471522
552	0.2197085833
553	0.2195980246
554	0.2194619362
555	0.2193289434
556	0.2191827506
557	0.2189999165
558	0.2189145286
559	0.2188146377
560	0.2187353504
561	0.2185831931
562	0.2184849212
563	0.2183623892
564	0.2182185094
565	0.2180934411
566	0.2179703687
567	0.2178657729
568	0.2177919292
569	0.2176646383
570	0.2175575063
571	0.2174356021
572	0.2172811195
573	0.2171949512
574	0.2170266333
575	0.2169192209
576	0.216829177
577	0.2167433738
578	0.2166283338
579	0.2165733491
580	0.2164918578
581	0.2164360008
582	0.2162242977
583	0.2161186031
584	0.2160601096
585	0.2158828667
586	0.2157820721
587	0.2156666852
588	0.2155122054
589	0.2154178021
590	0.2153023385
591	0.2152295117
592	0.2151055598
593	0.2150164195
594	0.2148878276
595	0.2147669528
596	0.2146705996
597	0.2146042835
598	0.2144598042
599	0.2143508188
600	0.214253509
601	0.2141630025
602	0.2141137419
603	0.2139897902
604	0.2139180537
605	0.213754743
606	0.21367823
607	0.213588217
608	0.2135057807
609	0.2134139995
610	0.213303682
611	0.2131984924
612	0.2130161183
613	0.2129311436
614	0.2128397914
615	0.2127155865
616	0.2125796082
617	0.2124924261
618	0.2124267708
619	0.2123595055
620	0.2122664671
621	0.2120755175
622	0.2119826357
623	0.2118918177
624	0.2117847582
625	0.2116835258
626	0.2115439853
627	0.2114001043
628	0.2113289758
629	0.2112475284
630	0.211152396
631	0.2110918085
632	0.2110078757
633	0.210826692
634	0.2107526627
635	0.2107074824
636	0.2106454328
637	0.2105462756
638	0.2104993279
639	0.2103764033
640	0.2102877561
641	0.2102217778
642	0.2100843015
643	0.2100010507
644	0.2098911986
645	0.2098388996
646	0.2097703281
647	0.2096788762
648	0.2096137695
649	0.2095161263
650	0.2093838812
651	0.2091701233
652	0.2090828088
653	0.2090250554
654	0.2089111463
655	0.2088488629
656	0.2087482117
657	0.2086115135
658	0.208532394
659	0.2084776839
660	0.2083748099
661	0.2083085007
662	0.2081584853
663	0.2080484429
664	0.2079659754
665	0.2078568461
666	0.2076435552
667	0.2075662238
668	0.2074794872
669	0.2073086227
670	0.2071837832
671	0.2071344456
672	0.2070507604
673	0.2070047999
674	0.2069409397
675	0.2068681657
676	0.2067574559
677	0.2066984428
678	0.2066408833
679	0.2064690473
680	0.2063621974
681	0.2063048077
682	0.2061854366
683	0.2060793953
684	0.2060393758
685	0.2058555424
686	0.2057438131
687	0.2056596516
688	0.2055342678
689	0.2054713414
690	0.2053524018
691	0.2052558755
692	0.2051610344
693	0.2050749865
694	0.2049580812
695	0.204898893
696	0.2047784962
697	0.2046576564
698	0.2045306292
699	0.2044321493
700	0.2043200194
701	0.2042267617
702	0.2041286867
703	0.2041015605
704	0.2039874115
705	0.2039752101
706	0.2039120056
707	0.2037894882
708	0.2037363857
709	0.203676082
710	0.2035783541
711	0.203490565
712	0.2034352171
713	0.203357839
714	0.203318724
715	0.203197121
716	0.203069686
717	0.2030288542
718	0.2029282202
719	0.2027547643
720	0.202717517
721	0.2026169576
722	0.2025649987
723	0.2025104023
724	0.2024425722
725	0.2024033592
726	0.2023233622
727	0.2022650846
728	0.2021835828
729	0.2020817928
730	0.2020282244
731	0.2019257893
732	0.201809461
733	0.2016846008
734	0.2016290909
735	0.201571442
736	0.2014888164
737	0.201449283
738	0.2012907342
739	0.2011782063
740	0.2011203373
741	0.2010025634
742	0.2009058506
743	0.2008613925
744	0.2008153012
745	0.2007254116
746	0.2006999611
747	0.2006371787
748	0.2005865177
749	0.2005376938
750	0.200470029
751	0.2003920095
752	0.2003340924
753	0.2002651653
754	0.2001656108
755	0.2000806972
756	0.2000196208
757	0.1999755056
758	0.1999226169
759	0.1998298833
760	0.1997214421
761	0.1996349855
762	0.1995520973
763	0.199499513
764	0.199452711
765	0.1993584793
766	0.1992875849
767	0.1992485775
768	0.1991426386
769	0.1991097674
770	0.1990435536
771	0.1989273361
772	0.1988165379
773	0.1987024089
774	0.1986696092
775	0.1986158003
776	0.1985541772
777	0.1984647146
778	0.1984011647
779	0.1983271511
780	0.1982147517
781	0.198041015
782	0.197939963
783	0.1978535122
784	0.1977975511
785	0.1977617638
786	0.1977386466
787	0.1976962246
788	0.1976332528
789	0.1975340251
790	0.1974672826
791	0.1974333943
792	0.1973769734
793	0.1973087976
794	0.197252797
795	0.1971785541
796	0.1971438599
797	0.1970662773
798	0.1969637949
799	0.1968249398
800	0.1967868145
801	0.1967146445
802	0.196662198
803	0.1965336694
804	0.1964904794
805	0.1964431079
806	0.1963889841
807	0.1963569771
808	0.1962957423
809	0.1962387695
810	0.1961542988
811	0.196087224
812	0.1959821248
813	0.1959321284
814	0.1958291867
815	0.1957485678
816	0.1957266237
817	0.1956295867
818	0.1955852689
819	0.1955012513
820	0.1954067353
821	0.1953607263
822	0.1952942825
823	0.1951998995
824	0.1951176499
825	0.1950054182
826	0.1949041219
827	0.1948557938
828	0.1948476812
829	0.1947938709
830	0.1947077075
831	0.1946233444
832	0.1945171002
833	0.1944528962
834	0.1943934609
835	0.1943078994
836	0.1942407313
837	0.1941762314
838	0.1941006652
839	0.1940265304
840	0.1939439788
841	0.1939069017
842	0.1938237155
843	0.1937949817
844	0.1937414891
845	0.1936307161
846	0.19353036
847	0.1934780512
848	0.193388455
849	0.1932712235
850	0.1931903583
851	0.1931173921
852	0.1930358437
853	0.1929758023
854	0.1928758959
855	0.1928423707
856	0.1928031438
857	0.1926911602
858	0.1926205056
859	0.1925449432
860	0.1924681401
861	0.1924032989
862	0.1923106253
863	0.192200247
864	0.1921805943
865	0.1921202693
866	0.1920389766
867	0.1918575076
868	0.1918040413
869	0.1917079601
870	0.191649156
871	0.1916057357
872	0.1915437317
873	0.1914041249
874	0.1913482735
875	0.1912753071
876	0.1912161097
877	0.1911425892
878	0.1910469865
879	0.1909678442
880	0.1908903835
881	0.1907951138
882	0.1907366655
883	0.1906700097
884	0.1905057547
885	0.1903745868
886	0.1902181219
887	0.1901831657
888	0.1901451569
889	0.1900624235
890	0.1899787893
891	0.1898935135
892	0.1898442491
893	0.189733894
894	0.1896430787
895	0.1895777112
896	0.189507199
897	0.1893652923
898	0.1892927661
899	0.1891858878
900	0.1891300074
901	0.1890980701
902	0.1890180199
903	0.1889677971
904	0.1889162108
905	0.1888345084
906	0.1887756341
907	0.1887335227
908	0.1887104429
909	0.1886558028
910	0.1885755322
911	0.1885433079
912	0.1884465661
913	0.188348792
914	0.1882507305
915	0.1881715554
916	0.1880979636
917	0.1880568432
918	0.187947653
919	0.1879090324
920	0.1878119668
921	0.1877717009
922	0.1877181179
923	0.187624072
924	0.1875670146
925	0.1875420828
926	0.1874740843
927	0.1874225579
928	0.1873557483
929	0.1872962997
930	0.187230442
931	0.1871740301
932	0.1871202576
933	0.1870251076
934	0.1869722929
935	0.1869373338
936	0.1869014345
937	0.1868136404
938	0.1866861851
939	0.1866224765
940	0.1865589862
941	0.1865190911
942	0.1864567604
943	0.1863911678
944	0.1862768969
945	0.18623441
946	0.1861569355
947	0.1861048844
948	0.1860385979
949	0.1859993282
950	0.1859637363
951	0.1859054301
952	0.185834556
953	0.1857661416
954	0.1856916991
955	0.1856630061
956	0.1856024529
957	0.1855901676
958	0.1855247698
959	0.1855013472
960	0.1854067684
961	0.1853411142
962	0.1852943122
963	0.1851904698
964	0.1851508271
965	0.1850879933
966	0.1850325969
967	0.1849664267
968	0.184835906
969	0.1847782516
970	0.1846662712
971	0.1846417482
972	0.1845844416
973	0.1845486875
974	0.1845219072
975	0.1844366083
976	0.1843579817
977	0.1843131149
978	0.1842499144
979	0.1842007677
980	0.1841504839
981	0.1840635342
982	0.183985495
983	0.1839187285
984	0.1838533652
985	0.1838085503
986	0.183728205
987	0.1836896676
988	0.1836171544
989	0.1835708302
990	0.1835018168
991	0.1834677339
992	0.1834324114
993	0.1833912264
994	0.1833497275
995	0.1833014124
996	0.1832663717
997	0.1831882922
998	0.1831206266
999	0.1829899
